id,rank,player,age_that_year,hits,year,bats
231,,Willie Keeler,24,210,1896,L
232,,Buddy Lewis,20,210,1937,L
233,,Kenny Lofton,29,210,1996,L
234,,Kirby Puckett,32,210,1992,R
235,,Cal Ripken,30,210,1991,R
236,,Mickey Rivers,31,210,1980,L
237,,Pete Rose,27,210,1968,B
238,,Pete Rose,34,210,1975,B
239,,Steve Sax,26,210,1986,R
240,,Robin Yount,26,210,1982,R
241,241,Earl Averill,29,209,1931,L
242,,Dave Bancroft,31,209,1922,B
243,,Ginger Beaumont,26,209,1903,L
244,,Roberto Clemente,32,209,1967,R
245,,Lew Fonseca,30,209,1929,R
246,,Nomar Garciaparra,23,209,1997,R
247,,Charlie Gehringer,34,209,1937,L
248,,Todd Helton,29,209,2003,L
249,,Hughie Jennings,27,209,1896,R
250,,Harvey Kuenn,22,209,1953,R
251,,Denny Lyons,21,209,1887,R
252,,Frank McCormick,27,209,1938,R
253,,Frank McCormick,28,209,1939,R
254,,Al Oliver,33,209,1980,L
255,,Bobby Richardson,26,209,1962,R
256,,Pete Rose,24,209,1965,B
257,,Alfonso Soriano,26,209,2002,R
258,,Jigger Statz,25,209,1923,R
259,,Fred Tenney,27,209,1899,L
260,260,Ty Cobb,28,208,1915,L
261,,Pete Fox,28,208,1937,R
262,,Frankie Frisch,29,208,1927,B
263,,Lou Gehrig,29,208,1932,L
264,,Nap Lajoie,29,208,1904,R
265,,Mark Loretta,32,208,2004,R
266,,Willie Mays,27,208,1958,R
267,,Wally Moses,26,208,1937,L
268,,Johnny Pesky,27,208,1946,L
269,,Vada Pinson,22,208,1961,L
270,,Frank Robinson,26,208,1962,R
271,,Pete Rose,38,208,1979,B
272,,George Stone,29,208,1906,L
273,,Ichiro Suzuki,28,208,2002,L
274,,Pie Traynor,24,208,1923,R
275,,Larry Walker,30,208,1997,L
276,,Buck Weaver,29,208,1920,B
277,,Maury Wills,29,208,1962,B
278,,Hack Wilson,30,208,1930,R
279,279,Wade Boggs,28,207,1986,L
280,,Max Carey,32,207,1922,B
281,,Starlin Castro,21,207,2011,R
282,,Bob Dillinger,29,207,1948,R
283,,Marquis Grissom,29,207,1996,R
284,,Don Mattingly,23,207,1984,L
285,,Stan Musial,28,207,1949,L
286,,Johnny Pesky,28,207,1947,L
287,,Kirby Puckett,27,207,1987,R
288,,Rip Radcliff,30,207,1936,L
289,,Sam Rice,40,207,1930,L
290,,Kevin Seitzer,25,207,1987,R
291,,B.J. Surhoff,34,207,1999,L
292,,Jack Tobin,30,207,1922,L
293,,Mo Vaughn,28,207,1996,L
294,,Bobby Veach,33,207,1921,L
295,,Mickey Vernon,28,207,1946,L
296,,Pinky Whitney,25,207,1930,R
297,,Heinie Zimmerman,25,207,1912,R
298,298,Rich Aurilia,29,206,2001,R
