Rank,Player,AgeThatYear,Hits,Year,Bats,id
,Steve Brodie,25,210,1894,L,225
,Lave Cross,28,210,1894,R,226
,Steve Garvey,26,210,1975,R,227
,Lou Gehrig,25,210,1928,L,228
,Lou Gehrig,31,210,1934,L,229
,Keith Hernandez,25,210,1979,L,230
,Willie Keeler,24,210,1896,L,231
,Buddy Lewis,20,210,1937,L,232
,Kenny Lofton,29,210,1996,L,233
,Kirby Puckett,32,210,1992,R,234
,Cal Ripken,30,210,1991,R,235
,Mickey Rivers,31,210,1980,L,236
,Pete Rose,27,210,1968,B,237
,Pete Rose,34,210,1975,B,238
,Steve Sax,26,210,1986,R,239
,Robin Yount,26,210,1982,R,240
241,Earl Averill,29,209,1931,L,241
,Dave Bancroft,31,209,1922,B,242
,Ginger Beaumont,26,209,1903,L,243
,Roberto Clemente,32,209,1967,R,244
,Lew Fonseca,30,209,1929,R,245
,Nomar Garciaparra,23,209,1997,R,246
,Charlie Gehringer,34,209,1937,L,247
,Todd Helton,29,209,2003,L,248
,Hughie Jennings,27,209,1896,R,249
,Harvey Kuenn,22,209,1953,R,250
,Denny Lyons,21,209,1887,R,251
,Frank McCormick,27,209,1938,R,252
,Frank McCormick,28,209,1939,R,253
,Al Oliver,33,209,1980,L,254
,Bobby Richardson,26,209,1962,R,255
,Pete Rose,24,209,1965,B,256
,Alfonso Soriano,26,209,2002,R,257
,Jigger Statz,25,209,1923,R,258
,Fred Tenney,27,209,1899,L,259
260,Ty Cobb,28,208,1915,L,260
,Pete Fox,28,208,1937,R,261
,Frankie Frisch,29,208,1927,B,262
,Lou Gehrig,29,208,1932,L,263
,Nap Lajoie,29,208,1904,R,264
,Mark Loretta,32,208,2004,R,265
,Willie Mays,27,208,1958,R,266
,Wally Moses,26,208,1937,L,267
,Johnny Pesky,27,208,1946,L,268
,Vada Pinson,22,208,1961,L,269
,Frank Robinson,26,208,1962,R,270
,Pete Rose,38,208,1979,B,271
,George Stone,29,208,1906,L,272
,Ichiro Suzuki,28,208,2002,L,273
,Pie Traynor,24,208,1923,R,274
,Larry Walker,30,208,1997,L,275
,Buck Weaver,29,208,1920,B,276
,Maury Wills,29,208,1962,B,277
,Hack Wilson,30,208,1930,R,278
279,Wade Boggs,28,207,1986,L,279
,Max Carey,32,207,1922,B,280
,Starlin Castro,21,207,2011,R,281
,Bob Dillinger,29,207,1948,R,282
,Marquis Grissom,29,207,1996,R,283
,Don Mattingly,23,207,1984,L,284
,Stan Musial,28,207,1949,L,285
,Johnny Pesky,28,207,1947,L,286
,Kirby Puckett,27,207,1987,R,287
,Rip Radcliff,30,207,1936,L,288
,Sam Rice,40,207,1930,L,289
,Kevin Seitzer,25,207,1987,R,290
,B.J. Surhoff,34,207,1999,L,291
,Jack Tobin,30,207,1922,L,292
,Mo Vaughn,28,207,1996,L,293
,Bobby Veach,33,207,1921,L,294
,Mickey Vernon,28,207,1946,L,295
,Pinky Whitney,25,207,1930,R,296
,Heinie Zimmerman,25,207,1912,R,297
298,Rich Aurilia,29,206,2001,R,298
,Bret Boone,32,206,2001,R,299
,Lou Brock,28,206,1967,L,300
,Dave Cash,26,206,1974,R,301
,Vinny Castilla,30,206,1998,R,302
,Fred Clarke,26,206,1899,L,303
,Joe DiMaggio,21,206,1936,R,304
,Taylor Douthit,28,206,1929,R,305
,Johnny Frederick,27,206,1929,L,306
,Johnny Frederick,28,206,1930,L,307
,Luis Gonzalez,31,206,1999,L,308
,Vladimir Guerrero,27,206,2002,R,309
,Vladimir Guerrero,29,206,2004,R,310
,Billy Herman,22,206,1932,R,311
